feature,subject,beta
condition,2,1.2850661045590424
condition,3,0.8173723635830931
condition,4,0.138742549033723
condition,5,-0.07356343260858926
condition,6,1.5922770356288716
condition,7,0.450108026133984
condition,8,1.0543964363088152
condition,9,-0.5743770369790058
condition,10,0.8978745054830239
condition,12,0.7011210844975043
condition,13,-0.20382450570483984
condition,14,0.04675013781070919
condition,15,0.9885501908327401
condition,16,0.9443992895147882
condition,17,0.7741981437315923
condition,19,-0.5064250160280178
condition,21,-0.7018315136781796
condition,101,1.2940502405886432
condition,102,-0.11517604301076058
condition,103,-0.278421677922857
condition,104,0.8585025694040275
condition,105,0.18015414948457928
condition,106,0.5458719178533683
condition,107,-0.3120141354176209
condition,108,0.35717233846469776
condition,109,0.796963467058468
condition,110,0.5290433325561024
condition,111,0.8363410686500705
condition,112,0.15190255468971944
condition,113,0.4939681261576819
condition,114,0.7912006267146021
condition,116,-0.30188981681329385
condition,117,-0.7296465942902759
condition,118,0.9130631297771691
encode_phase,2,-0.502283396414795
encode_phase,3,-0.32893045967840234
encode_phase,4,0.13678138101504447
encode_phase,5,-0.1504151626047577
encode_phase,6,0.37753237897697545
encode_phase,7,0.3185490008963889
encode_phase,8,0.31251198834152544
encode_phase,9,0.8154507867680828
encode_phase,10,0.003293141014628922
encode_phase,12,0.5036071033070287
encode_phase,13,0.15700515985326458
encode_phase,14,0.3657011152985133
encode_phase,15,0.6544920279521939
encode_phase,16,0.35507436123698394
encode_phase,17,0.5177519662938947
encode_phase,19,0.017490353746441742
encode_phase,21,0.8538740569188706
encode_phase,101,0.1834626164431712
encode_phase,102,0.3614059465863374
encode_phase,103,0.174396293466073
encode_phase,104,0.24562638045216836
encode_phase,105,-0.009399648956045097
encode_phase,106,-0.20032574694065705
encode_phase,107,-0.001933977313484933
encode_phase,108,-0.12774843302518984
encode_phase,109,-0.0841147588090303
encode_phase,110,0.6931853291387083
encode_phase,111,0.4354998741915432
encode_phase,112,0.18803277894163795
encode_phase,113,0.1527632760889919
encode_phase,114,0.40664757664438844
encode_phase,116,0.40319824579365193
encode_phase,117,0.9777206363502626
encode_phase,118,0.3804806043461707
source_memory,2,0.9584816136743488
source_memory,3,0.14941487920249352
source_memory,4,-0.017834884056038298
source_memory,5,1.2885478446498555
source_memory,6,0.7797535956427438
source_memory,7,0.5373830462385489
source_memory,8,0.6920165391245972
source_memory,9,-0.02855003335049042
source_memory,10,0.5207129888732351
source_memory,12,0.4833185233068189
source_memory,13,0.4676361611535439
source_memory,14,1.3479780095809928
source_memory,15,0.4453454253003252
source_memory,16,0.8018173223524796
source_memory,17,0.8270084057150923
source_memory,19,-0.2429071960134323
source_memory,21,0.2303145291139941
source_memory,101,1.7931169160767317
source_memory,102,0.2865718720305967
source_memory,103,0.29089566025165914
source_memory,104,0.9669640793406598
source_memory,105,-0.16725811717777375
source_memory,106,0.4492269615270261
source_memory,107,1.2274433336363886
source_memory,108,-0.16756624053051494
source_memory,109,0.6800056732214655
source_memory,110,0.23659542529321417
source_memory,111,0.4628728053617864
source_memory,112,0.8234331189083723
source_memory,113,0.5706714317879258
source_memory,114,0.9600767161830427
source_memory,116,1.1050137166040317
source_memory,117,0.5752534240572811
source_memory,118,0.6380432621732253
typicality,2,-0.015242264329347903
typicality,3,0.11925279421704744
typicality,4,0.14378358081651268
typicality,5,-0.0017698423055635653
typicality,6,0.4540753983882854
typicality,7,0.05318982345339919
typicality,8,-0.2763538649102015
typicality,9,0.4196769059180063
typicality,10,0.11753952023755365
typicality,12,0.2073555616088936
typicality,13,0.10672627399818145
typicality,14,0.23882215263750994
typicality,15,0.16592881580826685
typicality,16,-0.09170611936411123
typicality,17,0.050246498319452
typicality,19,0.3205463326850129
typicality,21,0.2900560700302818
typicality,101,0.025567123434765346
typicality,102,0.07043533012136326
typicality,103,0.12052066617541297
typicality,104,0.06475154193318977
typicality,105,0.2148161781229664
typicality,106,0.08034695922204674
typicality,107,0.08569251697742712
typicality,108,-0.018451975090464555
typicality,109,0.26077256679467514
typicality,110,0.19569059241077916
typicality,111,-0.1681000371239605
typicality,112,0.12145690819324977
typicality,113,0.014744369797515991
typicality,114,0.32094962850075665
typicality,116,0.41222324775522506
typicality,117,0.1543730531321248
typicality,118,-0.008885577176761807
