condition,subject,beta,intercept
CS+,2,-0.008631660200578473,1.8675707765960856
CS+,3,0.15791646942470536,-1.1970663351455586
CS+,4,0.2590630143917227,-0.9546651683753284
CS+,5,0.17337413898333986,1.187887534334355
CS+,6,0.4260852937660083,-1.9678013840272417
CS+,7,0.13233628290327906,-1.3035908483766065
CS+,8,-0.21833930378462554,2.1184650791007185
CS+,9,0.3771119823572075,-2.186317797474888
CS+,10,0.11305988306333181,0.8854690665671552
CS+,12,0.04153737681769129,-0.5645923249690161
CS+,13,-0.1459535791602828,-1.1656432878433671
CS+,14,0.2314908413186447,-1.8966748280844157
CS+,15,0.1691883403962091,-0.7898060269378916
CS+,16,-0.27280573978656397,0.4470301963991123
CS+,17,-0.07645647478747696,1.7170415125363823
CS+,19,0.32953090454818423,-0.6107606336068927
CS+,21,0.16039414381359238,-0.8313428612211868
CS+,101,-0.07369613611323894,0.2922452189792263
CS+,102,0.07671877615691426,-0.22655957403560356
CS+,103,0.08159327851221825,0.5195787540945148
CS+,104,0.030486338314349423,-0.9729767372813708
CS+,105,0.3943091427984387,-1.6624936598361073
CS+,106,-0.03173711557592516,-0.2950219345546119
CS+,107,0.3028437639082569,-1.204669304598695
CS+,108,-0.1388482746347716,0.5614587471579614
CS+,109,0.013796679899616257,1.437904356018388
CS+,110,0.17752232366347376,-0.25510634180800773
CS+,111,0.003012296376246666,1.9341702926952011
CS+,112,0.11937047753174065,-0.9316030503438365
CS+,113,0.07577085356653757,-0.9621186479488532
CS+,114,0.39188485238821974,-1.4217932533381277
CS+,116,0.5498460009820102,-4.824473009062795
CS+,117,0.10656673581341812,-0.586428950903036
CS+,118,0.18172100045872416,-1.5829054286339972
CS-,2,-0.02436109328912497,0.17774763248342376
CS-,3,0.09198804660741064,-1.8624539944220024
CS-,4,-0.039716046596840214,0.30499866198738806
CS-,5,-0.15791222862773127,1.8988828262645432
CS-,6,0.3381331374659589,-3.8207780925919748
CS-,7,0.02817509150776276,-1.310001411384362
CS-,8,-0.2650991119805901,1.0792612817399603
CS-,9,0.39766638920113073,-1.6962235087368676
CS-,10,0.13318176023847533,-0.554298150419187
CS-,12,0.3612992187206942,-2.7418269762240066
CS-,13,0.27045061612763205,-2.680082790195537
CS-,14,0.30309627694297314,-2.651895036874246
CS-,15,0.23438352571293156,-2.32716442307295
CS-,16,0.2821861929577314,-4.046586310548525
CS-,17,0.27506890256380895,-1.2575128898625985
CS-,19,0.23828779323649496,0.2546784667331481
CS-,21,0.3939135627013611,-1.1430586989459857
CS-,101,0.04541305148745125,-1.9797141036297692
CS-,102,0.07483773436996695,-0.016499717292182726
CS-,103,0.188351054756943,0.4910592949646284
CS-,104,0.2828255276029396,-2.776373303159158
CS-,105,0.16447517982504245,-0.5037639934762641
CS-,106,0.21684386633100983,-2.0377882152109583
CS-,107,0.18460702893293818,-0.4092316907013717
CS-,108,0.07879596874930929,-0.60810585424526
CS-,109,0.7162141011252099,-3.0500355869586806
CS-,110,0.20832303236453845,-1.0306795898765138
CS-,111,-0.21425604582269614,1.2775988549259065
CS-,112,-0.021288500772339278,-0.8662976238600921
CS-,113,-0.07945308230344618,-0.8935805586671093
CS-,114,0.4461662926807024,-2.9387063331566163
CS-,116,0.7238233709789391,-5.567534316699192
CS-,117,0.2713312110102707,-0.529930212299598
CS-,118,-0.051260270887695976,-1.5169430301588842
